date,Open,High,Low,Close,Volume
13.11.2025 20:30:00.000,4169.243,4170.689,4163.577,4164.769,4393
13.11.2025 20:45:00.000,4164.731,4167.222,4160.901,4164.052,5386
13.11.2025 21:00:00.000,4164.078,4181.451,4161.202,4178.602,4262
13.11.2025 21:15:00.000,4178.643,4178.697,4172.927,4174.212,2002
13.11.2025 21:30:00.000,4174.191,4176.081,4169.453,4173.099,2231
13.11.2025 21:45:00.000,4173.085,4173.824,4171.102,4171.614,1471
13.11.2025 23:00:00.000,4170.35,4181.706,4170.277,4176.511,3530
13.11.2025 23:15:00.000,4176.59,4184.946,4175.915,4179.272,3003
13.11.2025 23:30:00.000,4179.291,4181.959,4177.047,4179.413,2729
13.11.2025 23:45:00.000,4179.403,4186.777,4178.843,4186.021,3209
14.11.2025 00:00:00.000,4186.103,4186.705,4179.288,4185.786,3375
14.11.2025 00:15:00.000,4185.742,4190.103,4182.669,4188.411,2871
14.11.2025 00:30:00.000,4188.495,4189.869,4185.598,4186.918,3108
14.11.2025 00:45:00.000,4186.973,4187.441,4178.287,4183.873,4098
14.11.2025 01:00:00.000,4183.839,4189.236,4179.113,4183.141,6937
14.11.2025 01:15:00.000,4183.169,4186.792,4174.328,4174.716,6463
14.11.2025 01:30:00.000,4174.773,4183.857,4173.768,4180.202,5271
14.11.2025 01:45:00.000,4180.19,4193.93,4180.19,4190.161,5233
14.11.2025 02:00:00.000,4190.278,4194.758,4188.615,4194.114,4043
14.11.2025 02:15:00.000,4194.102,4202.449,4192.319,4199.874,4489
14.11.2025 02:30:00.000,4199.805,4204.801,4199.387,4204.005,4860
14.11.2025 02:45:00.000,4203.968,4210.333,4202.82,4207.258,4319
14.11.2025 03:00:00.000,4207.204,4208.981,4203.388,4205.719,3848
14.11.2025 03:15:00.000,4205.762,4211.111,4204.646,4210.974,2785
14.11.2025 03:30:00.000,4210.881,4211.651,4206.972,4207.234,2393
14.11.2025 03:45:00.000,4207.227,4207.382,4201.465,4204.515,3052
14.11.2025 04:00:00.000,4204.48,4205.916,4198.415,4200.242,2584
14.11.2025 04:15:00.000,4200.275,4201.6,4197.03,4197.893,2994
14.11.2025 04:30:00.000,4197.844,4204.292,4197.266,4202.493,3187
14.11.2025 04:45:00.000,4202.455,4203.639,4199.988,4203.378,2083
14.11.2025 05:00:00.000,4203.313,4203.776,4189.069,4189.662,4046
14.11.2025 05:15:00.000,4189.632,4189.801,4184.202,4188.353,6109
14.11.2025 05:30:00.000,4188.397,4196.612,4185.755,4194.019,6183
14.11.2025 05:45:00.000,4194.033,4195.518,4188.067,4190.009,3725
14.11.2025 06:00:00.000,4189.95,4193.273,4186.308,4189.856,4205
14.11.2025 06:15:00.000,4189.918,4190.291,4173.645,4178.286,6280
14.11.2025 06:30:00.000,4178.249,4184.145,4176.423,4180.581,4088
14.11.2025 06:45:00.000,4180.479,4180.643,4169.322,4175.364,6608
14.11.2025 07:00:00.000,4175.313,4177.422,4169.513,4171.61,6767
14.11.2025 07:15:00.000,4171.661,4174.113,4158.916,4163.472,6296
14.11.2025 07:30:00.000,4163.512,4174.44,4162.901,4174.019,3824
14.11.2025 07:45:00.000,4174.032,4182.462,4173.233,4181.088,3700
14.11.2025 08:00:00.000,4180.987,4182.187,4173.198,4174.422,5535
14.11.2025 08:15:00.000,4174.378,4184.431,4173.568,4177.068,5040
14.11.2025 08:30:00.000,4177.039,4187.057,4176.14,4182.948,4990
14.11.2025 08:45:00.000,4182.901,4183.998,4169.917,4176.067,6042
14.11.2025 09:00:00.000,4176.022,4180.484,4168.167,4174.686,5984
14.11.2025 09:15:00.000,4174.71,4177.35,4168.437,4170.189,4651
14.11.2025 09:30:00.000,4170.156,4171.816,4166.568,4170.99,4158
14.11.2025 09:45:00.000,4171.031,4171.855,4168.918,4169.307,2500
14.11.2025 10:00:00.000,4169.437,4170.639,4162.735,4165.55,3564
14.11.2025 10:15:00.000,4165.527,4170.714,4163.033,4165.193,4338
14.11.2025 10:30:00.000,4165.174,4168.428,4159.453,4167.506,3757
14.11.2025 10:45:00.000,4167.531,4171.118,4166.015,4167.906,3635
14.11.2025 11:00:00.000,4167.939,4169.987,4150.929,4153.11,5998
14.11.2025 11:15:00.000,4153.071,4153.071,4141.919,4148.819,7747
14.11.2025 11:30:00.000,4148.863,4157.8,4148.668,4153.801,4533
14.11.2025 11:45:00.000,4153.714,4153.714,4130.857,4132.938,10197
14.11.2025 12:00:00.000,4132.895,4140.581,4124.015,4126.018,10399
