entry_time,exit_time,direction,entry_price,stop_loss,take_profit,status,pnl,balance
2022-11-10 19:30:00,2022-11-11 01:30:00,Buy,1751.848,1748.348,1758.848,Loss,-3.5,177.0
2022-11-11 02:30:00,2022-11-11 05:15:00,Buy,1750.168,1746.668,1757.168,Win,7.0,184.0
2022-11-11 05:15:00,2022-11-11 05:30:00,Buy,1755.048,1751.548,1762.048,Win,7.0,191.0
2022-11-11 08:30:00,2022-11-11 11:00:00,Buy,1760.248,1756.748,1767.248,Loss,-3.5,187.5
2022-11-11 21:30:00,2022-11-13 23:00:00,Buy,1768.758,1765.258,1775.758,Loss,-3.5,184.0
2022-11-15 05:00:00,2022-11-15 07:30:00,Buy,1771.908,1768.408,1778.908,Win,7.0,191.0
2022-11-15 07:30:00,2022-11-15 08:30:00,Buy,1777.818,1774.318,1784.818,Loss,-3.5,187.5
2022-11-15 19:45:00,2022-11-16 03:45:00,Buy,1776.267,1772.767,1783.267,Loss,-3.5,184.0
2022-11-16 07:45:00,2022-11-16 09:45:00,Buy,1776.178,1772.678,1783.178,Win,7.0,191.0
2022-11-16 15:30:00,2022-11-16 18:15:00,Buy,1775.998,1772.498,1782.998,Loss,-3.5,187.5
2022-11-17 01:45:00,2022-11-17 03:15:00,Sell,1771.358,1774.858,1764.358,Win,7.0,194.5
2022-11-17 08:45:00,2022-11-17 13:00:00,Sell,1767.698,1771.198,1760.698,Win,7.0,201.5
2022-11-18 11:15:00,2022-11-18 14:15:00,Sell,1763.638,1767.138,1756.638,Win,7.0,208.5
2022-11-18 14:15:00,2022-11-18 14:45:00,Sell,1758.018,1761.518,1751.018,Win,7.0,215.5
2022-11-18 16:30:00,2022-11-18 18:45:00,Sell,1755.927,1759.427,1748.927,Win,7.0,222.5
2022-11-21 01:00:00,2022-11-21 07:30:00,Sell,1749.488,1752.988,1742.488,Win,7.0,229.5
2022-11-21 15:00:00,2022-11-22 01:00:00,Sell,1739.278,1742.778,1732.278,Loss,-3.5,226.0
2022-11-22 17:15:00,2022-11-23 04:00:00,Sell,1740.648,1744.148,1733.648,Win,7.0,233.0
2022-11-23 04:00:00,2022-11-23 06:45:00,Sell,1736.157,1739.657,1729.157,Loss,-3.5,229.5
2022-11-23 09:00:00,2022-11-23 13:30:00,Sell,1738.698,1742.198,1731.698,Win,7.0,236.5
2022-11-23 14:45:00,2022-11-23 18:15:00,Buy,1737.718,1734.218,1744.718,Win,7.0,243.5
2022-11-23 19:00:00,2022-11-24 00:15:00,Buy,1746.858,1743.358,1753.858,Win,7.0,250.5
2022-11-24 08:30:00,2022-11-25 07:45:00,Buy,1755.238,1751.738,1762.238,Loss,-3.5,247.0
2022-11-25 11:45:00,2022-11-25 17:00:00,Sell,1751.888,1755.388,1744.888,Loss,-3.5,243.5
2022-11-28 08:00:00,2022-11-28 08:45:00,Buy,1752.738,1749.238,1759.738,Win,7.0,250.5
2022-11-28 14:00:00,2022-11-28 14:30:00,Sell,1752.268,1755.768,1745.268,Win,7.0,257.5
2022-11-28 15:30:00,2022-11-28 19:00:00,Sell,1747.258,1750.758,1740.258,Win,7.0,264.5
2022-11-29 04:30:00,2022-11-29 14:15:00,Buy,1752.158,1748.658,1759.158,Loss,-3.5,261.0
